Term	Grantham_Val	Annotation	Haploblock
GO:0000079	170	regulation of cyclin-dependent protein serine/threonine kinase activity	ANN_01_01
GO:0000911	183	cytokinesis by cell plate formation	ANN_01_01
GO:0002237	309	response to molecule of bacterial origin	ANN_01_01
GO:0002240	309	response to molecule of oomycetes origin	ANN_01_01
GO:0006355	233	regulation of transcription, DNA-templated	ANN_01_01
GO:0006357	852	regulation of transcription by RNA polymerase II	ANN_01_01
GO:0006402	25	mRNA catabolic process	ANN_01_01
GO:0006468	89	protein phosphorylation	ANN_01_01
GO:0006552	81	leucine catabolic process	ANN_01_01
GO:0006606	183	protein import into nucleus	ANN_01_01
GO:0006829	86	zinc ion transport	ANN_01_01
GO:0006869	309	lipid transport	ANN_01_01
GO:0007033	278	vacuole organization	ANN_01_01
GO:0007165	121	signal transduction	ANN_01_01
GO:0009058	439	biosynthetic process	ANN_01_01
GO:0009624	309	response to nematode	ANN_01_01
GO:0009651	477	response to salt stress	ANN_01_01
GO:0009658	53	chloroplast organization	ANN_01_01
GO:0009737	755	response to abscisic acid	ANN_01_01
GO:0009739	523	response to gibberellin	ANN_01_01
GO:0009825	278	multidimensional cell growth	ANN_01_01
GO:0009939	523	positive regulation of gibberellic acid mediated signaling pathway	ANN_01_01
GO:0009965	53	leaf morphogenesis	ANN_01_01
GO:0010075	72	regulation of meristem growth	ANN_01_01
GO:0010090	278	trichome morphogenesis	ANN_01_01
GO:0010118	266	stomatal movement	ANN_01_01
GO:0010187	477	negative regulation of seed germination	ANN_01_01
GO:0010228	25	vegetative to reproductive phase transition of meristem	ANN_01_01
GO:0010239	53	chloroplast mRNA processing	ANN_01_01
GO:0010325	523	raffinose family oligosaccharide biosynthetic process	ANN_01_01
GO:0010364	74	regulation of ethylene biosynthetic process	ANN_01_01
GO:0010468	210	regulation of gene expression	ANN_01_01
GO:0010476	523	gibberellin mediated signaling pathway	ANN_01_01
GO:0015743	266	malate transport	ANN_01_01
GO:0015996	397	chlorophyll catabolic process	ANN_01_01
GO:0016070	53	RNA metabolic process	ANN_01_01
GO:0016117	53	carotenoid biosynthetic process	ANN_01_01
GO:0016310	89	phosphorylation	ANN_01_01
GO:0016567	551	protein ubiquitination	ANN_01_01
GO:0031146	167	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	ANN_01_01
GO:0033962	278	P-body assembly	ANN_01_01
GO:0034605	64	cellular response to heat	ANN_01_01
GO:0035513	25	oxidative RNA demethylation	ANN_01_01
GO:0042254	53	ribosome biogenesis	ANN_01_01
GO:0042742	423	defense response to bacterium	ANN_01_01
GO:0044030	210	regulation of DNA methylation	ANN_01_01
GO:0046856	134	phosphatidylinositol dephosphorylation	ANN_01_01
GO:0048444	523	floral organ morphogenesis	ANN_01_01
GO:0050832	706	defense response to fungus	ANN_01_01
GO:0055085	86	transmembrane transport	ANN_01_01
GO:0071472	278	cellular response to salt stress	ANN_01_01
GO:0071482	53	cellular response to light stimulus	ANN_01_01
GO:0080001	278	mucilage extrusion from seed coat	ANN_01_01
GO:0080167	25	response to karrikin	ANN_01_01
GO:0140426	309	PAMP-triggered immunity signalling pathway	ANN_01_01
GO:1903335	278	regulation of vacuolar transport	ANN_01_01
GO:1904580	278	regulation of intracellular mRNA localization	ANN_01_01
GO:2000232	210	regulation of rRNA processing	ANN_01_01
GO:0000012	384	single strand break repair	ANN_05_01
