Term	Annotation	Total_Grantham_SV	Rank_SV	Total_Grantham_Bkgd	Rank_Bkgd	Rank_Compare	Rank_Compare_Abs
GO:0000003	reproduction	2017	809	1642	296	513	513
GO:0000012	single strand break repair	3426	177	1610	305	-128	128
GO:0000027	ribosomal large subunit assembly	2176	673.5	973	545.5	128	128
GO:0000028	ribosomal small subunit assembly	2220	629	917	579	50	50
GO:0000038	very long-chain fatty acid metabolic process	2408	450.5	1591	309	141.5	141.5
GO:0000045	autophagosome assembly	569	2048	NA	NA	NA	NA
GO:0000050	urea cycle	2435	434.5	NA	NA	NA	NA
GO:0000053	argininosuccinate metabolic process	187	2306	NA	NA	NA	NA
GO:0000054	ribosomal subunit export from nucleus	2073	758	NA	NA	NA	NA
GO:0000055	ribosomal large subunit export from nucleus	2308	544	NA	NA	NA	NA
GO:0000056	ribosomal small subunit export from nucleus	2419	440.5	NA	NA	NA	NA
GO:0000070	mitotic sister chromatid segregation	1010	1698	NA	NA	NA	NA
GO:0000076	DNA replication checkpoint	548	2067.5	NA	NA	NA	NA
GO:0000077	DNA damage checkpoint	461	2122	NA	NA	NA	NA
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	2977	241	2800	138	103	103
GO:0000082	G1/S transition of mitotic cell cycle	610	2013	327	953.5	1059.5	1059.5
GO:0000086	G2/M transition of mitotic cell cycle	611	2011	NA	NA	NA	NA
GO:0000088	mitotic prophase	1286	1446	NA	NA	NA	NA
GO:0000103	sulfate assimilation	2451	426.5	NA	NA	NA	NA
GO:0000105	histidine biosynthetic process	1098	1630	NA	NA	NA	NA
GO:0000122	negative regulation of transcription by RNA polymerase II	2072	759	1123	459	300	300
GO:0000132	establishment of mitotic spindle orientation	943	1746	NA	NA	NA	NA
GO:0000154	rRNA modification	2100	746	NA	NA	NA	NA
GO:0000160	phosphorelay signal transduction system	1300	1432	2888	130	1302	1302
GO:0000162	tryptophan biosynthetic process	2376	474	1187	438	36	36
GO:0000165	MAPK cascade	1859	945	1288	395	550	550
GO:0000183	rDNA heterochromatin assembly	1694	1078	NA	NA	NA	NA
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	1915	904.5	NA	NA	NA	NA
GO:0000187	activation of MAPK activity	259	2270	NA	NA	NA	NA
GO:0000188	inactivation of MAPK activity	774	1885	NA	NA	NA	NA
GO:0000209	protein polyubiquitination	3574	165	744	701.5	-536.5	536.5
GO:0000226	microtubule cytoskeleton organization	1205	1519.5	418	904	615.5	615.5
GO:0000237	leptotene	857	1824	NA	NA	NA	NA
GO:0000244	spliceosomal tri-snRNP complex assembly	2458	422	NA	NA	NA	NA
GO:0000245	spliceosomal complex assembly	2522	392	NA	NA	NA	NA
GO:0000266	mitochondrial fission	981	1722.5	430	897	825.5	825.5
GO:0000271	polysaccharide biosynthetic process	1384	1369	NA	NA	NA	NA
GO:0000278	mitotic cell cycle	1863	941.5	837	635	306.5	306.5
GO:0000280	nuclear division	1165	1571.5	NA	NA	NA	NA
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	1180	1548.5	NA	NA	NA	NA
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	1290	1441.5	608	787.5	654	654
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	1057	1660	NA	NA	NA	NA
GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic	1181	1546.5	NA	NA	NA	NA
GO:0000302	response to reactive oxygen species	4187	111	5019	47.5	63.5	63.5
GO:0000303	response to superoxide	2585	366.5	NA	NA	NA	NA
GO:0000304	response to singlet oxygen	4287	106	NA	NA	NA	NA
GO:0000338	protein deneddylation	1657	1120	NA	NA	NA	NA
GO:0000350	generation of catalytic spliceosome for second transesterification step	630	2003	NA	NA	NA	NA
GO:0000373	Group II intron splicing	1319	1419	2163	202	1217	1217
GO:0000374	Group III intron splicing	831	1837.5	NA	NA	NA	NA
GO:0000380	alternative mRNA splicing, via spliceosome	64	2371	NA	NA	NA	NA
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	1741	1037	NA	NA	NA	NA
GO:0000387	spliceosomal snRNP assembly	2261	580.5	3070	120	460.5	460.5
GO:0000390	spliceosomal complex disassembly	2285	567	NA	NA	NA	NA
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation	2952	247	NA	NA	NA	NA
GO:0000395	mRNA 5'-splice site recognition	1801	992.5	NA	NA	NA	NA
GO:0000398	mRNA splicing, via spliceosome	3652	156	833	638	-482	482
GO:0000413	protein peptidyl-prolyl isomerization	1653	1124.5	NA	NA	NA	NA
GO:0000422	autophagy of mitochondrion	550	2062	NA	NA	NA	NA
