Gene	Fixed_count	Poly_count	p	Haplotype	Gene_fixed_poly_ratio	Haplotype_fixed_poly_ratio	Haploblock	Direction	pAdj	Homolog	Annotation
Ha412HOChr01g0002621	1	37	0.128402590907291	0	0.027027027027027	0.136942675159236	Ann_01_01	Poly	0.587018252176086	AT2G03430	Ankyrin repeat family protein;(source:Araport11)
Ha412HOChr01g0002621	7	19	0.00947478847598982	2	0.368421052631579	0.106366459627329	Ann_01_01	Fixed	0.0944092181726434	AT2G03430	Ankyrin repeat family protein;(source:Araport11)
Ha412HOChr01g0002631	1	29	0.239998091749229	0	0.0344827586206897	0.136942675159236	Ann_01_01	Poly	0.804891493555639	AT3G63010	Encodes a gibberellin (GA) receptor ortholog of the rice GA receptor gene (OsGID1). Has GA-binding activity, showing higher affinity to GA4. Interacts with DELLA proteins in vivo in the presence of GA4. The mRNA is cell-to-cell mobile.
Ha412HOChr01g0002631	12	15	2.29355804897e-08	2	0.8	0.106366459627329	Ann_01_01	Fixed	1.38155177552781e-06	AT3G63010	Encodes a gibberellin (GA) receptor ortholog of the rice GA receptor gene (OsGID1). Has GA-binding activity, showing higher affinity to GA4. Interacts with DELLA proteins in vivo in the presence of GA4. The mRNA is cell-to-cell mobile.
Ha412HOChr01g0002641	5	13	0.0297925576506234	2	0.384615384615385	0.106366459627329	Ann_01_01	Fixed	0.225599108375251	AT4G17970	Anion transporter involved  in stomatal closure. Gene has 3 splicing variants.
Ha412HOChr01g0002641	1	33	0.175228748488442	0	0.0303030303030303	0.136942675159236	Ann_01_01	Poly	0.698480242947894	AT4G17970	Anion transporter involved  in stomatal closure. Gene has 3 splicing variants.
Ha412HOChr01g0002691	3	34	0.636750857934835	0	0.0882352941176471	0.136942675159236	Ann_01_01	Poly	1	AT4G03010	RNI-like superfamily protein;(source:Araport11)
Ha412HOChr01g0002691	13	9	5.9036741006343e-13	2	1.44444444444444	0.106366459627329	Ann_01_01	Fixed	7.69210233090253e-11	AT4G03010	RNI-like superfamily protein;(source:Araport11)
Ha412HOChr01g0002731	0	17	0.251029962808811	0	0	0.136942675159236	Ann_01_01	Poly	0.815252279650288	AT1G03210	Phenazine biosynthesis PhzC/PhzF protein;(source:Araport11)
Ha412HOChr01g0002741	0	14	0.332345104721896	0	0	0.136942675159236	Ann_01_01	Poly	0.898268493867277	AT4G02860	Phenazine biosynthesis PhzC/PhzF protein;(source:Araport11)
Ha412HOChr01g0002741	0	11	0.571332506780316	2	0	0.106366459627329	Ann_01_01	Poly	1	AT4G02860	Phenazine biosynthesis PhzC/PhzF protein;(source:Araport11)
Ha412HOChr01g0002751	1	22	0.420395396264204	0	0.0454545454545455	0.136942675159236	Ann_01_01	Poly	0.955403184770446	AT4G02860	Phenazine biosynthesis PhzC/PhzF protein;(source:Araport11)
Ha412HOChr01g0002751	2	34	0.594685511298426	2	0.0588235294117647	0.106366459627329	Ann_01_01	Poly	1	AT4G02860	Phenazine biosynthesis PhzC/PhzF protein;(source:Araport11)
Ha412HOChr01g0002771	0	23	0.228702533318099	2	0	0.106366459627329	Ann_01_01	Poly	0.786193652676813	AT1G03250	R3H domain protein;(source:Araport11)
Ha412HOChr01g0002771	0	21	0.175632845770273	0	0	0.136942675159236	Ann_01_01	Poly	0.698480242947894	AT1G03250	R3H domain protein;(source:Araport11)
Ha412HOChr01g0002831	0	16	0.27524744800779	0	0	0.136942675159236	Ann_01_01	Poly	0.837247203338181	AT1G03260	SNARE associated Golgi protein family;(source:Araport11)
Ha412HOChr01g0002831	1	7	0.999999999999959	2	0.142857142857143	0.106366459627329	Ann_01_01	Fixed	1	AT1G03260	SNARE associated Golgi protein family;(source:Araport11)
Ha412HOChr01g0002871	0	47	0.0214184730388014	0	0	0.136942675159236	Ann_01_01	Poly	0.17564574159082	AT1G03290	ELKS/Rab6-interacting/CAST family protein;(source:Araport11)
Ha412HOChr01g0002871	4	34	0.999999999999993	2	0.117647058823529	0.106366459627329	Ann_01_01	Fixed	1	AT1G03290	ELKS/Rab6-interacting/CAST family protein;(source:Araport11)
Ha412HOChr01g0002881	0	7	0.69248515315977	0	0	0.136942675159236	Ann_01_01	Poly	1	AT2G48150	Encodes glutathione peroxidase.
Ha412HOChr01g0002951	1	15	0.97800667850928	2	0.0666666666666667	0.106366459627329	Ann_01_01	Poly	1	AT2G48120	The pale cress (pac) mutant affects chloroplast and leaf development; mutants are ABA-deficient and accumulate lower levels of carotenoids and chlorophyll compared to wild type. PAC binds 23srRNA and appears to be required for  50s ribosome assembly. Three alternative transcripts of this gene exist.PAC is essential for photoautotrophic growth and associates with psbK-psbI, ndhF, ndhD, and 23S ribosomal RNA in vivo(PMID:28805278)
Ha412HOChr01g0002951	0	25	0.124570926765351	0	0	0.136942675159236	Ann_01_01	Poly	0.576760022841353	AT2G48120	The pale cress (pac) mutant affects chloroplast and leaf development; mutants are ABA-deficient and accumulate lower levels of carotenoids and chlorophyll compared to wild type. PAC binds 23srRNA and appears to be required for  50s ribosome assembly. Three alternative transcripts of this gene exist.PAC is essential for photoautotrophic growth and associates with psbK-psbI, ndhF, ndhD, and 23S ribosomal RNA in vivo(PMID:28805278)
Ha412HOChr01g0002981	1	14	0.811585586032059	0	0.0714285714285714	0.136942675159236	Ann_01_01	Poly	1	AT3G06190	Encodes a member of the MATH-BTB domain proteins (BPMs) that directly interact with and target for proteasomal degradation the class I homeobox-leucine zipper (HD-ZIP) transcription factor ATHB6. Known members include AT5G19000 (BPM1), AT3G06190 (BPM2), AT2G39760 (BPM3), AT3G03740 (BPM4), AT5G21010 (BPM5) and AT3G43700 (BPM6).
Ha412HOChr01g0002981	0	11	0.571332506780316	2	0	0.106366459627329	Ann_01_01	Poly	1	AT3G06190	Encodes a member of the MATH-BTB domain proteins (BPMs) that directly interact with and target for proteasomal degradation the class I homeobox-leucine zipper (HD-ZIP) transcription factor ATHB6. Known members include AT5G19000 (BPM1), AT3G06190 (BPM2), AT2G39760 (BPM3), AT3G03740 (BPM4), AT5G21010 (BPM5) and AT3G43700 (BPM6).
Ha412HOChr01g0003001	0	7	0.826971061694073	2	0	0.106366459627329	Ann_01_01	Poly	1	AT4G02930	GTP binding Elongation factor Tu family protein;(source:Araport11)
Ha412HOChr01g0003001	0	8	0.616842967275347	0	0	0.136942675159236	Ann_01_01	Poly	1	AT4G02930	GTP binding Elongation factor Tu family protein;(source:Araport11)
Ha412HOChr01g0003121	3	23	0.999999999999999	0	0.130434782608696	0.136942675159236	Ann_01_01	Poly	1	AT4G02940	ALKBH10B is a functional RNA N6-methyladenosine demethylase. Reduction in ALKBH10B decreases m6A levels, and affects the stability of flowering time genes including FT, SPL3 and SPL9.  Mutant plants are early flowering.
Ha412HOChr01g0003121	0	28	0.162266287825808	2	0	0.106366459627329	Ann_01_01	Poly	0.670026177116072	AT4G02940	ALKBH10B is a functional RNA N6-methyladenosine demethylase. Reduction in ALKBH10B decreases m6A levels, and affects the stability of flowering time genes including FT, SPL3 and SPL9.  Mutant plants are early flowering.
