Gene	Grantham_Distance	Stop_Codon_Alt	Missense_Count	Homolog	Homolog_Description	Homolog_Symbol	Haploblock
Ha412HOChr01g0002611	0	0	0	AT4G03080	BRI1 suppressor 1 (BSU1)-like 1;(source:Araport11)	BRI1 SUPPRESSOR 1 (BSU1)-LIKE 1 (BSL1)	ANN_01_01
Ha412HOChr01g0002621	382	0	7	AT2G03430	Ankyrin repeat family protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0002631	523	0	7	AT3G63010	Encodes a gibberellin (GA) receptor ortholog of the rice GA receptor gene (OsGID1). Has GA-binding activity, showing higher affinity to GA4. Interacts with DELLA proteins in vivo in the presence of GA4. The mRNA is cell-to-cell mobile.	GA INSENSITIVE DWARF1B (GID1B)	ANN_01_01
Ha412HOChr01g0002641	266	0	4	AT4G17970	Anion transporter involved  in stomatal closure. Gene has 3 splicing variants.	ALUMINUM-ACTIVATED, MALATE TRANSPORTER 12 (ALMT12)	ANN_01_01
Ha412HOChr01g0002651	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr01g0002661	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr01g0002681	0	0	0	NA	NA	NA	ANN_01_01
Ha412HOChr01g0002691	121	0	1	AT4G03010	RNI-like superfamily protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0002711	0	0	0	AT3G18210	Belongs to the 2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily proteins and contains an oxoglutarate/iron-dependent oxygenase domain (InterPro:IPR005123) of the prolyl 4-hydroxylase, alpha subunit subtype (P4Hc; InterPro:IPR006620), participates in epigenetic repression of flowering genes, works redundantly with ICU11 to repress several members of the MADS-box transcription factors family, during vegetative development via histone modification.	CUPULIFORMIS2 (CP2)	ANN_01_01
Ha412HOChr01g0002731	256	0	3	AT1G03210	Phenazine biosynthesis PhzC/PhzF protein;(source:Araport11)		ANN_01_01
Ha412HOChr01g0002741	0	0	0	AT4G02860	Phenazine biosynthesis PhzC/PhzF protein;(source:Araport11)	D-AMINO ACID RACEMASE2 (DAAR2)	ANN_01_01
Ha412HOChr01g0002751	183	0	2	AT4G02860	Phenazine biosynthesis PhzC/PhzF protein;(source:Araport11)	D-AMINO ACID RACEMASE2 (DAAR2)	ANN_01_01
Ha412HOChr01g0002761	0	0	0	AT1G03250	R3H domain protein;(source:Araport11)		ANN_01_01
